UNd7wBbM9HfJhCxsLMXG;A partir de que fecha empiezan los mooc?
thPBAuPl1j7xOF9byXkx;Breve introducción al curso
nhMQlAHQZQaI3ovzt1PW;Conocimientos previos
qCBvJo4cn9VmTOrsbyC8;Contenido del curso
8jwhVjPN7i6HOnmHhi8i;Costo
GteGGuUdI8E2qZs9c3EA;Cual es el docente del curso de emprendimiento
8jwhVjPN7i6HOnmHhi8i;Cual es el precio del curso de emprendimiento
GteGGuUdI8E2qZs9c3EA;Cual es el profe de Salud Sexual y Reproductiva
WLjgEGFm7Bw3bu5wPKAT;Cual es la oferta actual
8jwhVjPN7i6HOnmHhi8i;Cuanto cuesta el  curso Método Toyota?
8jwhVjPN7i6HOnmHhi8i;Cuanto cuesta un curso?
yoxgGiRdzigI04AOHZQt;Cuanto dura el curso
yoxgGiRdzigI04AOHZQt;Cuanto dura el curso de empendimiento
8jwhVjPN7i6HOnmHhi8i;Cuanto vale el mooc?
WLjgEGFm7Bw3bu5wPKAT;Cuentame que cursos tienes
8jwhVjPN7i6HOnmHhi8i;Cuál es el precio?
qCBvJo4cn9VmTOrsbyC8;Cuál es la temática de cada curso?
8jwhVjPN7i6HOnmHhi8i;Cuál es precio del curso?
OnlUbqkPpjLN5m2iccTU;Cuáles son las fechas importantes del curso de emprendimiento
OnlUbqkPpjLN5m2iccTU;Cuáles son las fechas importantes del curso?
qCBvJo4cn9VmTOrsbyC8;Cuáles son las temas del curso?
qCBvJo4cn9VmTOrsbyC8;Cuáles son los contenidos a tratar en el curos de emprendimiento
nhMQlAHQZQaI3ovzt1PW;Cuáles son los prerequisitos?
nhMQlAHQZQaI3ovzt1PW;Cuáles son los requisitos necesarios para el curso de emprendimiento
OnlUbqkPpjLN5m2iccTU;Cuándo comienza el curso?
UNd7wBbM9HfJhCxsLMXG;Cuándo empiezan los cursos ?
UNd7wBbM9HfJhCxsLMXG;Cuándo inicia el curso de emprendimiento
yoxgGiRdzigI04AOHZQt;Cuántas horas dura el mooc?
8jwhVjPN7i6HOnmHhi8i;Cuánto cuesta el mooc de Administración Empresarial?
yoxgGiRdzigI04AOHZQt;Cuánto tiempo dura el mooc?
yoxgGiRdzigI04AOHZQt;Cuánto tiempo dura el mooc?
8jwhVjPN7i6HOnmHhi8i;Cuánto vale?
nhMQlAHQZQaI3ovzt1PW;Dame a conocer los prerequisitos
yoxgGiRdzigI04AOHZQt;De cuántas semanas es el mooc?
yoxgGiRdzigI04AOHZQt;De cuántas semanas es el mooc?
thPBAuPl1j7xOF9byXkx;De que se trata el curso?
qCBvJo4cn9VmTOrsbyC8;De que se tratan los moocs
thPBAuPl1j7xOF9byXkx;De que trata el mooc?
thPBAuPl1j7xOF9byXkx;De qué va el curso?
GteGGuUdI8E2qZs9c3EA;Docente del mooc?
yoxgGiRdzigI04AOHZQt;Duración del curso
UNd7wBbM9HfJhCxsLMXG;Día de inicio de los moocs ?
yoxgGiRdzigI04AOHZQt;En cuántas semanas se realiza el curso?
UNd7wBbM9HfJhCxsLMXG;En que fecha inician los moocs?
8jwhVjPN7i6HOnmHhi8i;Es gratis?
UNd7wBbM9HfJhCxsLMXG;Fecha de inicio de los moocs?
OnlUbqkPpjLN5m2iccTU;Fechas clave del curso
